id1,group,id3
GroEL_3300009434_____Ga0115562_1003537_10,KS_soil,KS_soil
GroEL_3300009436_____Ga0115008_10017536_8,KS_soil,KS_soil
GroEL_3300009443_____Ga0115557_1000652_23,KS_soil,KS_soil
GroEL_3300009467_____Ga0115565_10000645_6,KS_soil,KS_soil
GroEL_3300009472_____Ga0115554_1002954_4,KS_soil,KS_soil
GroEL_3300009498_____Ga0115568_10000032_14,KS_soil,KS_soil
GroEL_3300009498_____Ga0115568_10000665_40,KS_soil,KS_soil
GroEL_3300009498_____Ga0115568_10001356_22,KS_soil,KS_soil
GroEL_3300009544_____Ga0115006_10000287_1,KS_soil,KS_soil
GroEL_3300009593_____Ga0115011_10000215_57,KS_soil,KS_soil
GroEL_3300009684_____Ga0114958_10004268_8,KS_soil,KS_soil
GroEL_3300009702_____Ga0114931_10000040_81,KS_soil,KS_soil
GroEL_3300009705_____Ga0115000_10000454_34,KS_soil,KS_soil
GroEL_3300009705_____Ga0115000_10002769_9,KS_soil,KS_soil
GroEL_3300009705_____Ga0115000_10003721_14,KS_soil,KS_soil
GroEL_3300009710_____Ga0116192_1000050_76,KS_soil,KS_soil
GroEL_3300010157_____Ga0114964_10000248_37,KS_soil,KS_soil
GroEL_3300010158_____Ga0114960_10000441_8,KS_soil,KS_soil
GroEL_3300010158_____Ga0114960_10000573_3,KS_soil,KS_soil
GroEL_3300010158_____Ga0114960_10001038_7,KS_soil,KS_soil
GroEL_3300010158_____Ga0114960_10001171_21,KS_soil,KS_soil
GroEL_3300010160_____Ga0114967_10000179_26,KS_soil,KS_soil
GroEL_3300010160_____Ga0114967_10008069_12,KS_soil,KS_soil
GroEL_3300010334_____Ga0136644_10000209_23,KS_soil,KS_soil
GroEL_3300010334_____Ga0136644_10000341_3,KS_soil,KS_soil
GroEL_3300010334_____Ga0136644_10000457_20,KS_soil,KS_soil
GroEL_3300010334_____Ga0136644_10000656_8,KS_soil,KS_soil
GroEL_3300011972_____Ga0119788_1000100_37,KS_soil,KS_soil
GroEL_3300012038_____Ga0137431_1000114_34,KS_soil,KS_soil
GroEL_3300012920_____Ga0160423_10004678_17,KS_soil,KS_soil
GroEL_3300012936_____Ga0163109_10002649_20,KS_soil,KS_soil
GroEL_3300013005_____Ga0164292_10000928_6,KS_soil,KS_soil
GroEL_3300013093_____Ga0164296_1000012_37,KS_soil,KS_soil
GroEL_3300013093_____Ga0164296_1000456_9,KS_soil,KS_soil
GroEL_3300013126_____Ga0172367_10002954_13,KS_soil,KS_soil
GroEL_3300013126_____Ga0172367_10003472_12,KS_soil,KS_soil
GroEL_3300013131_____Ga0172373_10001120_15,KS_soil,KS_soil
GroEL_3300013131_____Ga0172373_10006839_1,KS_soil,KS_soil
GroEL_3300013131_____Ga0172373_10007593_6,KS_soil,KS_soil
GroEL_3300013132_____Ga0172372_10006552_3,KS_soil,KS_soil
GroEL_3300013426_____Ga0116649_1000015_153,KS_soil,KS_soil
GroEL_3300014050_____Ga0119952_1000493_2,KS_soil,KS_soil
GroEL_3300014205_____Ga0172380_10000135_159,KS_soil,KS_soil
GroEL_3300014208_____Ga0172379_10001057_48,KS_soil,KS_soil
GroEL_3300014818_____Ga0134300_1000390_41,KS_soil,KS_soil
GroEL_3300014819_____Ga0119954_1000052_15,KS_soil,KS_soil
GroEL_3300015203_____Ga0167650_1000051_10,KS_soil,KS_soil
GroEL_3300015214_____Ga0172382_10001227_31,KS_soil,KS_soil
GroEL_3300017958_____Ga0181582_10001742_16,KS_soil,KS_soil
