DNA_viral_contig,A_dry_1,A_dry_2,A_dry_3,C_dry_1,C_dry_2,C_dry_3,C_wet_1,C_wet_2,C_wet_3,A_wet_1,A_wet_2,A_wet_3
VC_178,0,0,0,0,0,0,0,0,0,2.282861491,0,0
VC_179,0,0,0,0.287281166,0,0,0,0,0,0,0,0
VC_180,0,1.436455863,0,0,0,0,0,0,0,0,0,0
VC_181,0,0,0,0,0,0,0.888333921,0,0,0,0,0
VC_182,0,0,0,0,1.257674036,1.366275434,1.153690959,0,0,0,0,0
VC_183,0,0,0,0,0,0,2.748806851,0,0,0,0,0
VC_184,0,1.01461958,0,0,0,0.434546529,0,0,0,0,0,0
VC_185,0,0,0,0,0,0.739411352,0,0,0,0,0,0
VC_186,0,0.642285972,0,0,0,0,0,1.210184711,0,0,0,0.668382962
VC_187,0,0,0,0,0,0,0,0,1.19567632,0,0,0
VC_188,0,0,0,0,0,0.668229379,0,0,0,0,0,0
VC_189,0,0.484180699,0,0,0,0,0,0,0,0,0,0.503853647
VC_190,0,0.521362798,0,0,0,0,0,0,0,0,0,0
VC_191,0,1.589847894,0,0,0,0,0,0,0,0,0,0
VC_192,0,1.216376962,0,0,0,0,0,0,0,0,0,0
VC_193,0,0,1.136001398,0,0,0,0,0,0.840490242,0,0,0
VC_194,0,23.87995292,0,0,1.344925748,1.461061418,0,0,0,0,0,0
VC_195,0,0,0,0,0,0,0,0,0,0,0,1.316124863
VC_196,0,0,0,0,0,0,0.778473173,0,0,0,1.31071786,0
VC_197,0,0,0,0,0.357712849,0,0,0.569867158,0,0,0,0
VC_198,0,0,0,0,1.143680454,0,0,0,0,0,0,0
VC_199,0,0,0,0,0,0,0.37036895,0,0,0,0,0
VC_200,0,0,0,0.445949472,0,0,0,0,0,0,0,0
VC_201,0,0,0,0,0,0,0.890526823,0,0,0,0,0
VC_202,0,0,0,0.611341336,0.741438843,0,0,0,0,0,0,0.652361213
VC_203,0,0,0,0.621950538,0,0,0,0,0,0,1.165022684,0
VC_204,0,0,0,0,0,0,0,0,0,0,0,0.347879132
VC_205,0,0,0,0,0,0.937721206,0,0,0,0,0,0
VC_206,0,0,0,0,0,0,0,0,0,0,0,0.796571516
VC_207,0,0,1.422843861,0,0,0,0,0,0,0,0,0
VC_208,0,0,0.953130447,0,0,0,0,0,0,0,0,0
VC_209,0,0,0,0,0,0,0,0,0,0,0,0.391156858
VC_210,0,0,0,0,0,0,0,0,0,2.394621691,0,0
VC_211,0,0.586355288,0,0,0,0,0,0,0,0,0,0
VC_212,0,0,0,0,0,0,0,0,0.570958044,0,0,0
VC_213,0,0,0,0,0,0,1.715320204,0,0,0,0,0
VC_214,0,0,0,0.417909996,0,0,0,0,0,0,0,0
VC_215,0,0,3.16659561,0,1.606402753,0,0,0,0,0,0,1.413406996
VC_216,0,0,0,0,1.543071105,0,0,0,0,0,0,0
VC_217,0,0,0,0,0,0,0,0,0,0,0,1.066694857
VC_218,0,0,0,0,0,0.516234975,0.435911829,0,0,0,0,0
VC_219,0,0,0,0,0,0,0,0,0,0,1.197226474,0.682027911
VC_220,0,0,0,0,0,0,0,0,0.765760405,0,0,0
VC_221,0,1.569302607,0,0,0,0,0,0,0,0,0,0
VC_222,0,0,0,0,0,0.388643793,0,0,0,0,0,0
VC_223,0,0,0.818742577,0,0,0,0.381004938,0,0,0,0,0
VC_224,0,0,0,0,0,0,0.709834779,0,0,0,0,0
VC_225,0,0,0,0.386218902,0,0,0,0,0,0,0,0
VC_226,0,0,0,0,0,0,0,0,0,1.027096935,0,0
VC_227,0,0,0,0,0,0,0,0,0,0,1.302220608,0
